Continent,Region,Country,Criminality Score 2023,Resilience Score 2023
Asia,Western Asia,Saudi Arabia,6.23,4
Africa,West Africa,Senegal,5.52,5.79
Europe,Central & Eastern Europe,Serbia,6.22,4.96
Africa,Southern Africa,Seychelles,3.9,5.21
Africa,West Africa,Sierra Leone,4.95,4.04
Asia,South-Eastern Asia,Singapore,3.47,7.83
Europe,Central & Eastern Europe,Slovakia,4.72,5.29
Europe,Central & Eastern Europe,Slovenia,4.37,6.04
Oceania,Melanesia,Solomon Islands,4.4,5.08
Africa,East Africa,Somalia,6.13,1.79
Africa,Southern Africa,South Africa,7.18,5.63
Africa,East Africa,South Sudan,6.32,1.88
Europe,Southern Europe,Spain,5.9,6.75
Asia,Southern Asia,Sri Lanka,4.92,3.42
North America,Caribbean ,St. Kitts and Nevis,3.52,5
North America,Caribbean ,St. Lucia,3.53,5.58
North America,Caribbean ,St. Vincent and the Grenadines,3.08,5.38
Africa,East Africa,Sudan,6.37,2.71
South America,South America,Suriname,4.77,3.04
Europe,Northern Europe,Sweden,4.7,7.46
Europe,Western Europe,Switzerland,4.87,7.04
Asia,Western Asia,Syria,7.07,1.92
Asia,Central Asia and the Caucasus,Tajikistan,5.45,2.58
Africa,East Africa,Tanzania,6.2,4.13
Asia,South-Eastern Asia,Thailand,6.18,4.79
Asia,South-Eastern Asia,Timor-Leste,4.08,3.83
Africa,West Africa,Togo,5.23,4.5
Oceania,Polynesia,Tonga,3.7,5.29
North America,Caribbean ,Trinidad and Tobago,5.2,5.33
Africa,North Africa,Tunisia,4.45,4.5
Asia,Western Asia,Turkey,7.03,3.38
Asia,Central Asia and the Caucasus,Turkmenistan,4.4,2.21
Oceania,Polynesia,Tuvalu,1.62,6.08
Africa,East Africa,Uganda,6.55,3.88
Europe,Central & Eastern Europe,Ukraine,6.48,4.54
Asia,Western Asia,United Arab Emirates,6.37,5.13
Europe,Western Europe,United Kingdom,5.75,7.54
North America,North America,United States,5.67,7.13
South America,South America,Uruguay,3.22,7.5
Asia,Central Asia and the Caucasus,Uzbekistan,4.95,3.88
Oceania,Melanesia,Vanuatu,2.43,5.13
South America,South America,Venezuela,6.72,1.88
Asia,South-Eastern Asia,Vietnam,6.55,4.79
Asia,Western Asia,Yemen,6.57,1.75
Africa,Southern Africa,Zambia,4.73,4.54
Africa,Southern Africa,Zimbabwe,5.47,3.13
