Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2024,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"3,790",54.4
2024,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,756,10.8
2024,March,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,2,0.0
2024,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,"1,404",20.1
2024,March,C Drug offences,C30 Drug use and possession,C31 Drug use,154,2.2
2024,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,"24,074",345.5
2024,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,295,4.2
2024,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"5,439",78.1
2024,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"9,665",138.7
2024,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,258,3.7
2024,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,"2,050",29.4
2024,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"1,494",21.4
2024,March,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"2,144",30.8
2024,March,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,344,4.9
2024,March,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,"1,348",19.3
2024,March,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,288,4.1
2024,March,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,167,2.4
2024,March,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,314,4.5
2024,March,D Public order and security offences,D30 Public nuisance offences,D33 Begging,16,0.2
2024,March,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,2,0.0
2024,March,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"3,721",53.4
2024,March,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,14,0.2
2024,March,D Public order and security offences,D40 Public security offences,D41 Immigration offences,2,0.0
2024,March,D Public order and security offences,D40 Public security offences,D43 Hacking,167,2.4
2024,March,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,1,0.0
2024,March,D Public order and security offences,D40 Public security offences,D49 Other public security offences,4,0.1
2024,March,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,97,1.4
2024,March,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,4,0.1
2024,March,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"9,130",131.0
2024,March,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,551,7.9
2024,March,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,501,7.2
2024,March,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,"2,238",32.1
2024,March,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"54,117",776.6
