Country,Government transparency and accountability,National policies and laws,Judicial system and detention,Law enforcement,Victim and witness support,Prevention
Australia,8.00,8.00,8.00,8.00,6.00,6.00
Rest of World,4.34,5.47,4.52,4.85,4.23,4.54
