Country,Human trafficking,Arms trafficking,Heroin trade,Cyber-dependent crimes,Financial crimes,Mafia-style groups
Australia,3.50,3.50,3.50,7.50,7.00,4.50
Rest of World,5.83,5.22,4.08,4.54,5.97,4.02
