Continent,Region,Country,Criminality Score 2021,Criminality 2023
Asia,Southern Asia,Sri Lanka,4.64,4.92
Americas,Caribbean ,St. Kitts and Nevis,4.10,3.52
Americas,Caribbean ,St. Lucia,4.09,3.53
Americas,Caribbean ,St. Vincent and the Grenadines,3.30,3.08
Africa,East Africa,Sudan,6.46,6.37
Americas,South America,Suriname,4.90,4.77
Europe,Northern Europe,Sweden,4.56,4.70
Europe,Western Europe,Switzerland,4.34,4.87
Asia,Western Asia,Syria,6.84,7.07
Asia,Central Asia and the Caucasus,Tajikistan,5.61,5.45
Africa,East Africa,Tanzania,6.15,6.20
Asia,South-Eastern Asia,Thailand,5.76,6.18
Asia,South-Eastern Asia,Timor-Leste,3.96,4.08
Africa,West Africa,Togo,5.33,5.23
Oceania,Polynesia,Tonga,3.78,3.70
Americas,Caribbean ,Trinidad and Tobago,4.94,5.20
Africa,North Africa,Tunisia,3.79,4.45
Asia,Western Asia,Turkey,6.89,7.03
Asia,Central Asia and the Caucasus,Turkmenistan,4.61,4.40
Oceania,Polynesia,Tuvalu,1.54,1.62
Africa,East Africa,Uganda,6.14,6.55
Europe,Central & Eastern Europe,Ukraine,6.18,6.48
Asia,Western Asia,United Arab Emirates,5.75,6.37
Europe,Western Europe,United Kingdom,4.89,5.75
Americas,North America,United States,5.50,5.67
Americas,South America,Uruguay,2.69,3.22
Asia,Central Asia and the Caucasus,Uzbekistan,4.96,4.95
Oceania,Melanesia,Vanuatu,2.20,2.43
Americas,South America,Venezuela,6.64,6.72
Asia,South-Eastern Asia,Vietnam,6.28,6.55
Asia,Western Asia,Yemen,6.13,6.57
Africa,Southern Africa,Zambia,4.93,4.73
Africa,Southern Africa,Zimbabwe,5.66,5.47
